"radar_id","lat","lon"
"KARX",43.822778,-91.191111
"KDLH",46.836944,-92.209722
"KDVN",41.611667,-90.580833
"KGGW",48.206389,-106.625
"KUDX",44.125,-102.82972
"KABR",45.455833,-98.413056
"KAMA",35.233333,-101.70917
"KBIS",46.770833,-100.76056
"KBRO",25.916111,-97.418889
"KCRP",27.784167,-97.511111
"KDDC",37.760833,-99.968889
"KDFX",29.272778,-100.28056
"KDMX",41.731111,-93.722778
"KDYX",32.538333,-99.254444
"KEAX",38.810278,-94.264444
"KEWX",29.703889,-98.028333
"KFDR",34.362222,-98.976389
"KFSD",43.587778,-96.729444
"KFWS",32.573056,-97.303056
"KGLD",39.366944,-101.70028
"KGRK",30.721944,-97.383056
"KHGX",29.471944,-95.079167
"KICT",37.654722,-97.442778
"KINX",36.175,-95.564722
"KLBB",33.654167,-101.81417
"KLCH",30.125278,-93.215833
"KLNX",41.957778,-100.57639
"KLZK",34.836389,-92.262222
"KMBX",48.3925,-100.865
"KMPX",44.848889,-93.565556
"KMVX",47.527778,-97.325556
"KOAX",41.320278,-96.366667
"KPOE",31.155556,-92.975833
"KSGF",37.235278,-93.400556
"KSHV",32.450833,-93.841389
"KSJT",31.371389,-100.4925
"KSRX",35.290556,-94.361667
"KTLX",35.333056,-97.277778
"KTWX",38.996944,-96.2325
"KUEX",40.320833,-98.441944
"KVNX",36.740833,-98.127778
